,hg38,rheMac3,mm10,rn6,susScr3,bosTau8,oviAri3,equCab2,felCat8,canFam3,galGal4,danRer10
hg38,,,,,,,,,,,,
rheMac3,0.0323,,,,,,,,,,,
mm10,0.2263,0.2270,,,,,,,,,,
rn6,0.2282,0.2289,0.0757,,,,,,,,,
susScr3,0.1534,0.1552,0.2462,0.2482,,,,,,,,
bosTau8,0.1698,0.1703,0.2586,0.2601,0.1188,,,,,,,
oviAri3,0.1717,0.1718,0.2607,0.2623,0.1215,0.0355,,,,,,
equCab2,0.1402,0.1394,0.2346,0.2359,0.1268,0.1404,0.1422,,,,,
felCat8,0.1516,0.1523,0.2445,0.2458,0.1364,0.1510,0.1535,0.1210,,,,
canFam3,0.1572,0.1583,0.2489,0.2504,0.1432,0.1580,0.1604,0.1283,0.0957,,,
galGal4,0.5814,0.5717,0.6238,0.6252,0.5646,0.5923,0.5870,0.5703,0.5749,0.5797,,
danRer10,0.8573,0.8511,0.8606,0.8606,0.8426,0.8587,0.8571,0.8554,0.8545,0.8616,0.8694,
