,hg38,rheMac3,mm10,rn6,susScr3,bosTau8,oviAri3,equCab2,felCat8,canFam3,galGal4,danRer10
hg38,,,,,,,,,,,,
rheMac3,0.0105,,,,,,,,,,,
mm10,0.0755,0.0756,,,,,,,,,,
rn6,0.0760,0.0761,0.0247,,,,,,,,,
susScr3,0.0509,0.0514,0.0825,0.0830,,,,,,,,
bosTau8,0.0565,0.0566,0.0868,0.0872,0.0392,,,,,,,
oviAri3,0.0571,0.0571,0.0875,0.0879,0.0401,0.0115,,,,,,
equCab2,0.0464,0.0461,0.0784,0.0788,0.0419,0.0465,0.0471,,,,,
felCat8,0.0501,0.0503,0.0817,0.0820,0.0451,0.0500,0.0508,0.0398,,,,
canFam3,0.0522,0.0524,0.0834,0.0837,0.0474,0.0524,0.0532,0.0423,0.0314,,,
galGal4,0.2082,0.2039,0.2232,0.2234,0.2013,0.2121,0.2097,0.2035,0.2050,0.2074,,
danRer10,0.3160,0.3134,0.3182,0.3180,0.3105,0.3172,0.3162,0.3153,0.3148,0.3177,0.3216,
