,hg38,rheMac3,mm10,rn6,susScr3,bosTau8,oviAri3,equCab2,felCat8,canFam3,galGal4,danRer10
hg38,,,,,,,,,,,,
rheMac3,0.0312,,,,,,,,,,,
mm10,0.1802,0.1807,,,,,,,,,,
rn6,0.1815,0.1820,0.0697,,,,,,,,,
susScr3,0.1300,0.1313,0.1924,0.1938,,,,,,,,
bosTau8,0.1417,0.1421,0.2000,0.2011,0.1043,,,,,,,
oviAri3,0.1430,0.1431,0.2013,0.2024,0.1064,0.0341,,,,,,
equCab2,0.1203,0.1198,0.1852,0.1862,0.1103,0.1205,0.1219,,,,,
felCat8,0.1288,0.1294,0.1916,0.1926,0.1177,0.1285,0.1302,0.1060,,,,
canFam3,0.1329,0.1337,0.1943,0.1953,0.1227,0.1334,0.1351,0.1115,0.0860,,,
galGal4,0.3561,0.3526,0.3730,0.3737,0.3491,0.3599,0.3581,0.3517,0.3535,0.3553,,
danRer10,0.4526,0.4509,0.4534,0.4534,0.4476,0.4521,0.4520,0.4519,0.4515,0.4538,0.4568,
