sp1,sp2,y,y_tree
hg38,rheMac10,38,38.0
hg38,mm10,239,234.24
hg38,rn6,313,310.08
hg38,felCat9,89,96.57
hg38,canFam4,141,140.73
hg38,equCab3,102,107.35
hg38,galGal6,416,411.03
rheMac10,mm10,226,221.24
rheMac10,rn6,302,297.08
rheMac10,felCat9,75,83.57
rheMac10,canFam4,127,127.73
rheMac10,equCab3,87,94.35
rheMac10,galGal6,405,398.03
mm10,rn6,162,162.0
mm10,felCat9,220,216.78
mm10,canFam4,259,260.94
mm10,equCab3,229,227.56
mm10,galGal6,519,531.24
rn6,felCat9,299,292.61
rn6,canFam4,338,336.78
rn6,equCab3,305,303.39
rn6,galGal6,590,607.07
felCat9,canFam4,83,83.0
felCat9,equCab3,73,75.92
felCat9,galGal6,403,393.56
canFam4,equCab3,123,120.08
canFam4,galGal6,436,437.73
equCab3,galGal6,414,404.35
