sp1,sp2,y,y_tree
hg38,rheMac10,45.001131632446295,45.0
hg38,mm10,273.67499705254363,274.96
hg38,rn6,353.01027227771755,353.48
hg38,felCat9,103.00128236938475,103.61
hg38,canFam4,159.14282096137237,157.86
hg38,equCab3,114.99973726947785,113.93
rheMac10,mm10,257.5716572341233,256.76
rheMac10,rn6,336.21732830960843,335.28
rheMac10,felCat9,84.00350181851195,85.41
rheMac10,canFam4,140.0438746727371,139.66
rheMac10,equCab3,95.00191923831177,95.73
mm10,rn6,176.99953309165954,177.0
mm10,felCat9,254.9887384647217,252.37
mm10,canFam4,305.0098573629608,306.63
mm10,equCab3,262.1571400713501,262.69
rn6,felCat9,331.8277031862259,330.88
rn6,canFam4,383.54386002791585,385.14
rn6,equCab3,341.38493442219544,341.2
felCat9,canFam4,90.16210487794494,90.16
felCat9,equCab3,77.99845641979981,79.55
canFam4,equCab3,135.36263959545136,133.81
