sp1,sp2,y,y_tree
hg38,rheMac10,39.00025990591728,39.0
hg38,mm10,239.70803208723393,239.93
hg38,rn6,308.6214794742171,305.17
hg38,felCat9,89.00109246342939,94.18
hg38,canFam4,139.92631044814172,137.77
hg38,equCab3,100.9719565537535,105.23
hg38,galGal6,417.14472807165816,413.09
rheMac10,mm10,225.92602378121714,226.14
rheMac10,rn6,296.64564670549413,291.38
rheMac10,felCat9,73.99877880000825,80.4
rheMac10,canFam4,124.93807462356258,123.98
rheMac10,equCab3,84.99550337720704,91.45
rheMac10,galGal6,406.1471026009322,399.3
mm10,rn6,154.94342031910676,154.94
mm10,felCat9,222.00061146231445,219.19
mm10,canFam4,262.15294417954465,262.77
mm10,equCab3,229.1766532389734,230.23
mm10,galGal6,537.3911834772047,538.09
rn6,felCat9,291.7061505749919,284.42
rn6,canFam4,330.47799262062034,328.01
rn6,equCab3,295.4933665996321,295.47
rn6,galGal6,584.8497036755217,603.33
felCat9,canFam4,82.42836244315562,82.43
felCat9,equCab3,71.97347960675752,74.7
felCat9,galGal6,396.5513910494381,392.34
canFam4,equCab3,121.01645297065257,118.29
canFam4,galGal6,428.2409049948226,435.93
equCab3,galGal6,415.1398176937559,403.39
