sp1,sp2,y,y_tree
YEPE.0221.00017,YEPE.0221.00006,26,24.51
YEPE.0221.00017,YEPE.0221.00005,12,12.0
YEPE.0221.00017,YEPE.0221.00004,11,13.36
YEPE.0221.00017,YEPE.0221.00016,63,63.3
YEPE.0221.00017,YEPE.0221.00035,17,16.91
YEPE.0221.00017,YEPE.0221.00008,11,14.02
YEPE.0221.00017,YEPE.0221.00033,19,18.78
YEPE.0221.00017,YEPE.0221.00014,43,40.66
YEPE.0221.00017,YEPE.0221.00009,22,21.78
YEPE.0221.00017,YEPE.0221.00044,19,18.78
YEPE.0221.00017,YEPE.0221.00057,24,21.64
YEPE.0221.00017,YEPE.0221.00040,24,23.57
YEPE.0221.00017,YEPE.0221.00043,18,18.31
YEPE.0221.00017,YEPE.0221.00001,17,17.85
YEPE.0221.00017,YEPE.0221.00048,25,24.03
YEPE.0221.00017,YEPE.0221.00010,18,19.51
YEPE.0221.00006,YEPE.0221.00005,27,29.31
YEPE.0221.00006,YEPE.0221.00004,26,24.85
YEPE.0221.00006,YEPE.0221.00016,71,74.79
YEPE.0221.00006,YEPE.0221.00035,30,28.39
YEPE.0221.00006,YEPE.0221.00008,27,25.51
YEPE.0221.00006,YEPE.0221.00033,30,30.27
YEPE.0221.00006,YEPE.0221.00014,49,52.15
YEPE.0221.00006,YEPE.0221.00009,35,33.27
YEPE.0221.00006,YEPE.0221.00044,30,30.27
YEPE.0221.00006,YEPE.0221.00057,22,22.0
YEPE.0221.00006,YEPE.0221.00040,36,35.06
YEPE.0221.00006,YEPE.0221.00043,31,29.79
YEPE.0221.00006,YEPE.0221.00001,29,29.34
YEPE.0221.00006,YEPE.0221.00048,37,35.52
YEPE.0221.00006,YEPE.0221.00010,30,30.99
YEPE.0221.00005,YEPE.0221.00004,17,18.16
YEPE.0221.00005,YEPE.0221.00016,69,68.1
YEPE.0221.00005,YEPE.0221.00035,23,21.71
YEPE.0221.00005,YEPE.0221.00008,19,18.82
YEPE.0221.00005,YEPE.0221.00033,23,23.58
YEPE.0221.00005,YEPE.0221.00014,46,45.46
YEPE.0221.00005,YEPE.0221.00009,28,26.58
YEPE.0221.00005,YEPE.0221.00044,23,23.58
YEPE.0221.00005,YEPE.0221.00057,28,26.44
YEPE.0221.00005,YEPE.0221.00040,27,28.37
YEPE.0221.00005,YEPE.0221.00043,24,23.11
YEPE.0221.00005,YEPE.0221.00001,23,22.65
YEPE.0221.00005,YEPE.0221.00048,28,28.83
YEPE.0221.00005,YEPE.0221.00010,24,24.31
YEPE.0221.00004,YEPE.0221.00016,64,63.64
YEPE.0221.00004,YEPE.0221.00035,12,12.31
YEPE.0221.00004,YEPE.0221.00008,8,7.9
YEPE.0221.00004,YEPE.0221.00033,12,12.66
YEPE.0221.00004,YEPE.0221.00014,38,36.06
YEPE.0221.00004,YEPE.0221.00009,15,15.66
YEPE.0221.00004,YEPE.0221.00044,12,12.66
YEPE.0221.00004,YEPE.0221.00057,22,21.98
YEPE.0221.00004,YEPE.0221.00040,21,18.97
YEPE.0221.00004,YEPE.0221.00043,13,13.71
YEPE.0221.00004,YEPE.0221.00001,12,11.73
YEPE.0221.00004,YEPE.0221.00048,22,19.44
YEPE.0221.00004,YEPE.0221.00010,13,14.91
YEPE.0221.00016,YEPE.0221.00035,69,67.18
YEPE.0221.00016,YEPE.0221.00008,65,64.3
YEPE.0221.00016,YEPE.0221.00033,71,69.06
YEPE.0221.00016,YEPE.0221.00014,89,90.94
YEPE.0221.00016,YEPE.0221.00009,70,72.06
YEPE.0221.00016,YEPE.0221.00044,71,69.06
YEPE.0221.00016,YEPE.0221.00057,72,71.92
YEPE.0221.00016,YEPE.0221.00040,72,73.85
YEPE.0221.00016,YEPE.0221.00043,70,68.58
YEPE.0221.00016,YEPE.0221.00001,69,68.13
YEPE.0221.00016,YEPE.0221.00048,73,74.31
YEPE.0221.00016,YEPE.0221.00010,71,69.78
YEPE.0221.00035,YEPE.0221.00008,12,12.98
YEPE.0221.00035,YEPE.0221.00033,18,17.73
YEPE.0221.00035,YEPE.0221.00014,38,39.57
YEPE.0221.00035,YEPE.0221.00009,21,20.73
YEPE.0221.00035,YEPE.0221.00044,18,17.73
YEPE.0221.00035,YEPE.0221.00057,24,25.53
YEPE.0221.00035,YEPE.0221.00040,21,22.48
YEPE.0221.00035,YEPE.0221.00043,7,7.4
YEPE.0221.00035,YEPE.0221.00001,18,16.8
YEPE.0221.00035,YEPE.0221.00048,22,22.95
YEPE.0221.00035,YEPE.0221.00010,9,8.6
YEPE.0221.00008,YEPE.0221.00033,14,13.33
YEPE.0221.00008,YEPE.0221.00014,38,36.73
YEPE.0221.00008,YEPE.0221.00009,17,16.33
YEPE.0221.00008,YEPE.0221.00044,14,13.33
YEPE.0221.00008,YEPE.0221.00057,22,22.65
YEPE.0221.00008,YEPE.0221.00040,20,19.64
YEPE.0221.00008,YEPE.0221.00043,13,14.38
YEPE.0221.00008,YEPE.0221.00001,12,12.4
YEPE.0221.00008,YEPE.0221.00048,21,20.11
YEPE.0221.00008,YEPE.0221.00010,15,15.58
YEPE.0221.00033,YEPE.0221.00014,41,41.49
YEPE.0221.00033,YEPE.0221.00009,17,16.98
YEPE.0221.00033,YEPE.0221.00044,0,0.0
YEPE.0221.00033,YEPE.0221.00057,28,27.4
YEPE.0221.00033,YEPE.0221.00040,24,24.4
YEPE.0221.00033,YEPE.0221.00043,19,19.13
YEPE.0221.00033,YEPE.0221.00001,4,4.0
YEPE.0221.00033,YEPE.0221.00048,23,24.86
YEPE.0221.00033,YEPE.0221.00010,21,20.33
YEPE.0221.00014,YEPE.0221.00009,44,44.48
YEPE.0221.00014,YEPE.0221.00044,41,41.49
YEPE.0221.00014,YEPE.0221.00057,51,49.28
YEPE.0221.00014,YEPE.0221.00040,34,34.27
YEPE.0221.00014,YEPE.0221.00043,41,40.97
YEPE.0221.00014,YEPE.0221.00001,40,40.56
YEPE.0221.00014,YEPE.0221.00048,35,34.73
YEPE.0221.00014,YEPE.0221.00010,43,42.17
YEPE.0221.00009,YEPE.0221.00044,17,16.98
YEPE.0221.00009,YEPE.0221.00057,29,30.4
YEPE.0221.00009,YEPE.0221.00040,28,27.39
YEPE.0221.00009,YEPE.0221.00043,22,22.13
YEPE.0221.00009,YEPE.0221.00001,16,16.05
YEPE.0221.00009,YEPE.0221.00048,27,27.86
YEPE.0221.00009,YEPE.0221.00010,24,23.33
YEPE.0221.00044,YEPE.0221.00057,28,27.4
YEPE.0221.00044,YEPE.0221.00040,24,24.4
YEPE.0221.00044,YEPE.0221.00043,19,19.13
YEPE.0221.00044,YEPE.0221.00001,4,4.0
YEPE.0221.00044,YEPE.0221.00048,23,24.86
YEPE.0221.00044,YEPE.0221.00010,21,20.33
YEPE.0221.00057,YEPE.0221.00040,33,32.19
YEPE.0221.00057,YEPE.0221.00043,25,26.93
YEPE.0221.00057,YEPE.0221.00001,26,26.47
YEPE.0221.00057,YEPE.0221.00048,34,32.66
YEPE.0221.00057,YEPE.0221.00010,25,28.13
YEPE.0221.00040,YEPE.0221.00043,24,23.88
YEPE.0221.00040,YEPE.0221.00001,23,23.47
YEPE.0221.00040,YEPE.0221.00048,1,1.0
YEPE.0221.00040,YEPE.0221.00010,26,25.08
YEPE.0221.00043,YEPE.0221.00001,19,18.2
YEPE.0221.00043,YEPE.0221.00048,25,24.35
YEPE.0221.00043,YEPE.0221.00010,4,4.0
YEPE.0221.00001,YEPE.0221.00048,22,23.93
YEPE.0221.00001,YEPE.0221.00010,21,19.4
YEPE.0221.00048,YEPE.0221.00010,27,25.55
