,hg38,rheMac3,mm10,rn6,susScr3,bosTau8,oviAri3,equCab2,felCat8,canFam3,galGal4,danRer10
hg38,,,,,,,,,,,,
rheMac3,0.0325,,,,,,,,,,,
mm10,0.2345,0.2349,,,,,,,,,,
rn6,0.2361,0.2365,0.0767,,,,,,,,,
susScr3,0.1580,0.1597,0.2561,0.2579,,,,,,,,
bosTau8,0.1754,0.1758,0.2697,0.2709,0.1217,,,,,,,
oviAri3,0.1773,0.1773,0.2718,0.2731,0.1246,0.0357,,,,,,
equCab2,0.1441,0.1432,0.2436,0.2446,0.1301,0.1444,0.1462,,,,,
felCat8,0.1557,0.1563,0.2537,0.2547,0.1400,0.1554,0.1579,0.1237,,,,
canFam3,0.1620,0.1628,0.2589,0.2601,0.1472,0.1628,0.1652,0.1315,0.0974,,,
galGal4,0.6460,0.6326,0.6924,0.6929,0.6243,0.6579,0.6502,0.6313,0.6359,0.6435,,
danRer10,0.9808,0.9726,0.9874,0.9868,0.9632,0.9840,0.9811,0.9784,0.9767,0.9857,0.9973,
