sp1,sp2,y,y_tree
hg38,rheMac10,39.00073023739624,39.0
hg38,mm10,247.1840721584015,251.1
hg38,rn6,312.3013888759841,309.54
hg38,felCat9,89.0050114381256,92.06
hg38,canFam4,140.19517081192015,136.79
hg38,equCab3,101.0106824097061,103.64
hg38,galGal6,435.1556061950912,431.73
rheMac10,mm10,233.47769027178958,237.1
rheMac10,rn6,300.30495343143457,295.54
rheMac10,felCat9,73.99592612832642,78.06
rheMac10,canFam4,125.10992824462889,122.79
rheMac10,equCab3,85.00169694866943,89.64
rheMac10,galGal6,422.9614812786789,417.73
mm10,rn6,155.03295771674348,155.03
mm10,felCat9,230.64516635137937,229.3
mm10,canFam4,274.59467044308474,274.03
mm10,equCab3,237.02760258750914,240.89
mm10,galGal6,578.4539197924346,568.97
rn6,felCat9,295.4358635018921,287.75
rn6,canFam4,335.9717885499802,332.47
rn6,equCab3,298.74594091773986,299.33
rn6,galGal6,609.2719202408142,627.41
felCat9,canFam4,83.88535894235993,83.89
felCat9,equCab3,72.01325277359008,74.56
felCat9,galGal6,409.3998708089828,408.77
canFam4,equCab3,121.82779429163361,119.28
canFam4,galGal6,441.14461398245237,453.49
equCab3,galGal6,432.06079707418826,420.35
