,hg38,rheMac3,mm10,rn6,susScr3,bosTau8,oviAri3,equCab2,felCat8,canFam3,galGal4,danRer10
hg38,,,,,,,,,,,,
rheMac3,1045359.0,,,,,,,,,,,
mm10,5264510.0,5046938.0,,,,,,,,,,
rn6,5242112.0,5030462.0,2159379.0,,,,,,,,,
susScr3,3403609.0,3308563.0,4647058.0,4633830.0,,,,,,,,
bosTau8,4395114.0,4217363.0,5642485.0,5610347.0,2725646.0,,,,,,,
oviAri3,4241352.0,4114862.0,5438587.0,5413730.0,2680675.0,1078315.0,,,,,,
equCab2,3721772.0,3578740.0,5139851.0,5114085.0,2797468.0,3606481.0,3525153.0,,,,,
felCat8,3961979.0,3851243.0,5338011.0,5307859.0,2998131.0,3847659.0,3772058.0,3184700.0,,,,
canFam3,4114798.0,3974116.0,5457011.0,5425468.0,3141483.0,4026264.0,3918519.0,3350446.0,2655539.0,,,
galGal4,7858728.0,7436456.0,7719209.0,7662890.0,6443406.0,7656378.0,7333101.0,7345880.0,7414176.0,7541546.0,,
danRer10,7735636.0,7386408.0,7361553.0,7303959.0,6364579.0,7474934.0,7191847.0,7294209.0,7344147.0,7464093.0,7125043.0,
