,hg38,rheMac3,mm10,rn6,susScr3,bosTau8,oviAri3,equCab2,felCat8,canFam3,galGal4,danRer10
hg38,,,,,,,,,,,,
rheMac3,0.0220,,,,,,,,,,,
mm10,0.1590,0.1593,,,,,,,,,,
rn6,0.1601,0.1603,0.0520,,,,,,,,,
susScr3,0.1071,0.1083,0.1737,0.1748,,,,,,,,
bosTau8,0.1190,0.1192,0.1829,0.1837,0.0825,,,,,,,
oviAri3,0.1202,0.1202,0.1843,0.1852,0.0844,0.0242,,,,,,
equCab2,0.0977,0.0971,0.1652,0.1659,0.0882,0.0979,0.0991,,,,,
felCat8,0.1056,0.1060,0.1720,0.1727,0.0949,0.1053,0.1071,0.0839,,,,
canFam3,0.1098,0.1104,0.1756,0.1763,0.0998,0.1104,0.1120,0.0891,0.0661,,,
galGal4,0.4386,0.4295,0.4701,0.4705,0.4240,0.4468,0.4416,0.4287,0.4318,0.4369,,
danRer10,0.6656,0.6601,0.6701,0.6698,0.6539,0.6680,0.6660,0.6641,0.6630,0.6690,0.6773,
