sp1,sp2,y,y_tree
hg38,rheMac10,45,45.0
hg38,mm10,262,261.8
hg38,rn6,349,351.2
hg38,felCat9,103,103.92
hg38,canFam4,159,156.33
hg38,equCab3,115,114.75
rheMac10,mm10,246,243.8
rheMac10,rn6,333,333.2
rheMac10,felCat9,84,85.92
rheMac10,canFam4,140,138.32
rheMac10,equCab3,95,96.75
mm10,rn6,177,177.0
mm10,felCat9,237,234.72
mm10,canFam4,282,287.12
mm10,equCab3,246,245.55
rn6,felCat9,327,324.12
rn6,canFam4,375,376.52
rn6,equCab3,336,334.95
felCat9,canFam4,89,89.0
felCat9,equCab3,78,80.3
canFam4,equCab3,135,132.7
