,hg38,rheMac3,mm10,rn6,susScr3,bosTau8,oviAri3,equCab2,felCat8,canFam3,galGal4,danRer10
hg38,,,,,,,,,,,,
rheMac3,0.0304,,,,,,,,,,,
mm10,0.1577,0.1581,,,,,,,,,,
rn6,0.1586,0.1590,0.0659,,,,,,,,,
susScr3,0.1182,0.1193,0.1673,0.1682,,,,,,,,
bosTau8,0.1278,0.1281,0.1730,0.1737,0.0964,,,,,,,
oviAri3,0.1288,0.1289,0.1740,0.1747,0.0982,0.0332,,,,,,
equCab2,0.1101,0.1097,0.1618,0.1624,0.1016,0.1103,0.1114,,,,,
felCat8,0.1171,0.1175,0.1665,0.1671,0.1078,0.1168,0.1182,0.0979,,,,
canFam3,0.1205,0.1211,0.1685,0.1692,0.1120,0.1209,0.1223,0.1026,0.0805,,,
galGal4,0.2804,0.2780,0.2904,0.2908,0.2762,0.2830,0.2817,0.2776,0.2788,0.2800,,
danRer10,0.3363,0.3352,0.3368,0.3368,0.3338,0.3365,0.3362,0.3359,0.3358,0.3370,0.3383,
