sp1,sp2,y,y_tree
hg38,rheMac10,19.999028808433533,20.0
hg38,mm10,116.83587170592497,103.97
hg38,rn6,123.60871055947875,107.76
hg38,felCat9,50.69002554473876,63.19
hg38,canFam4,80.5090743295059,82.12
hg38,equCab3,49.19486374592591,62.26
hg38,galGal6,116.61983591693878,126.47
hg38,danRer10,216.96195648307796,208.65
rheMac10,mm10,100.91759179017639,96.74
rheMac10,rn6,105.0737117423706,100.54
rheMac10,felCat9,40.02458001280975,55.96
rheMac10,canFam4,73.89795603125762,74.89
rheMac10,equCab3,45.47462292073822,55.03
rheMac10,galGal6,121.4803013002014,119.24
rheMac10,danRer10,216.96195648307796,201.43
mm10,rn6,43.021499405113225,43.02
mm10,felCat9,100.91759179017639,95.34
mm10,canFam4,112.38237138736726,114.28
mm10,equCab3,99.67633482339478,94.41
mm10,galGal6,149.59555885829926,158.62
mm10,danRer10,223.8526561467896,240.81
rn6,felCat9,106.21894981098175,99.14
rn6,canFam4,114.85225504779815,118.07
rn6,equCab3,101.62176081977844,98.2
rn6,galGal6,156.59402405445098,162.42
rn6,danRer10,222.75797576282503,244.6
felCat9,canFam4,58.31453472198486,58.31
felCat9,equCab3,40.10619524829865,46.1
felCat9,galGal6,120.76917096904754,117.84
felCat9,danRer10,218.88081689928438,200.03
canFam4,equCab3,71.0289649504776,65.03
canFam4,galGal6,151.05335585787964,136.77
canFam4,danRer10,206.40035960549926,218.96
equCab3,galGal6,122.1716854315567,116.91
equCab3,danRer10,207.76777619819643,199.1
galGal6,danRer10,221.26058681094358,221.26
